"Model","MAPE_Train","MAPE_Test","Rsquare_Train","Rsquare_Test","Rmse_Train","Rmse_Test"
"Decision Tree for Regression",56.0999336068978,21.9653819931237,0.78712018748981,0.804121360695039,889.295072083629,877.96291561597
"Random Forest",26.0444536717443,15.2759383494736,0.965882728962016,0.891083483022621,367.886450897523,654.770511988042
"Linear Regression",44.6054816976242,18.0329257150569,0.840414513197492,0.831046592038142,769.972727282978,811.082503964169
